STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNOW,SNWD,TempAvg,TempMax,TempMin,Fog,Thunder,Ice Pellets,Hail,Smoke
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,4/30/2018,0,,,,62,44,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/2/2018,0,,,,62,42,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/3/2018,0,,,,69,47,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/4/2018,0,,,,75,44,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/5/2018,0,0,0,,76,48,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/6/2018,0,,,,69,50,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/7/2018,0,,,,78,52,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/8/2018,0,0,0,,68,48,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/9/2018,0.02,,,,80,54,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/10/2018,0.01,,,,66,49,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/11/2018,0.31,,,,61,50,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/12/2018,0,0,0,,66,47,,,,,
USC00450872,"BREMERTON, WA US",47.5688,-122.6827,33.5,5/13/2018,0,,,,76,49,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/1/2018,0,0,0,,37,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/2/2018,0,0,0,,38,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/3/2018,0,0,0,,45,37,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/4/2018,0,0,0,,46,37,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/5/2018,0.25,0,0,,46,39,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/6/2018,0.78,0,0,,43,37,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/7/2018,0.1,0,0,,39,35,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/8/2018,0.35,0,0,,39,35,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/9/2018,0.81,0,0,,41,35,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/10/2018,1.12,0,0,,40,34,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/11/2018,1.01,0,0,,39,34,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/12/2018,2.19,0,0,,45,36,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/13/2018,0.66,0,0,,44,40,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/14/2018,0.07,0,0,,51,40,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/15/2018,0,0,0,,53,47,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/16/2018,0.24,0,0,,51,40,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/17/2018,0.12,0,0,,44,38,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/18/2018,1.44,0,0,,48,34,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/19/2018,0.32,0,0,,40,33,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/20/2018,0.89,0,0,,37,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/21/2018,0.29,0,0,,40,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/22/2018,0.84,0,0,,39,34,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/23/2018,0.13,0,0,,39,34,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/24/2018,2.16,0,0,,39,34,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/25/2018,0.85,0,0,,40,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/26/2018,0.61,0.1,0,,34,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/27/2018,1.4,1.5,2,,35,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/28/2018,0.44,0,0,,42,35,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/29/2018,0.11,0,0,,41,37,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/30/2018,1.31,0,0,,45,35,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,1/31/2018,0.05,0,0,,39,34,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/1/2018,0.23,0,0,,36,33,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/2/2018,1.48,0,0,,43,35,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/3/2018,0.77,0,0,,49,41,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/4/2018,0.88,0,0,,51,44,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/5/2018,0.99,0,0,,51,40,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/6/2018,0,0,0,,43,38,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/7/2018,0.08,0,0,,41,38,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/8/2018,0.01,0,0,,48,40,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/9/2018,0.89,0,0,,48,33,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/10/2018,0.01,0,0,,39,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/11/2018,0,0,0,,36,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/12/2018,0,0,0,,35,26,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/13/2018,0,0,0,,36,26,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/14/2018,0.44,3.5,4,,40,27,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/15/2018,0.6,0,3,,33,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/16/2018,0.69,3.3,5,,35,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/17/2018,1.98,0,0,,40,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/18/2018,0.57,0.2,0,,,,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/19/2018,0.29,3.7,4,,,,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/20/2018,0,0,3,,,,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/21/2018,0,0,3,,29,20,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/22/2018,0.11,1,4,,29,17,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/23/2018,0,0,3,,29,17,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/24/2018,0.47,3,6,,32,17,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/25/2018,0.69,0.5,6,,36,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/26/2018,0.08,0.1,4,,35,27,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/27/2018,0.12,1.5,5,,37,27,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,2/28/2018,0.32,0,4,,37,32,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/1/2018,0.42,0,2,,38,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/2/2018,0.44,2.2,4,,37,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/3/2018,0.02,0,3,,35,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/4/2018,0.02,0.1,2,,41,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/5/2018,0.57,1.1,3,,36,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/6/2018,0.02,0,3,,38,30,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/7/2018,0,0,2,,41,29,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/8/2018,0,0,0,,46,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/9/2018,1.24,0,0,,43,34,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/10/2018,0,0,0,,41,28,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/11/2018,0,0,0,,52,31,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/12/2018,0,0,0,,55,47,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/13/2018,0,0,0,,61,49,,,,,
USC00451233,"CEDAR LAKE, WA US",47.4144,-121.7561,475.5,3/14/2018,0.44,0,0,,59,37,,,,,
